deportation	von	nach	nach_fct	deportation_alt	dep_datum	dep_date	deportation_date_exact	deportation_my	deportation_month	deportation_year
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.12.1942 nach Auschwitz	09.12.1942	09.12.1942	1942-12-09	1942-12-09	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.12.1942 nach Auschwitz	09.12.1942	09.12.1942	1942-12-09	1942-12-09	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.12.1942 nach Auschwitz	09.12.1942	09.12.1942	1942-12-09	1942-12-09	Dec	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.01.1944 nach Theresienstadt	21.01.1944	21.01.1944	1944-01-21	1944-01-21	Jan	1944
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 14.12.1942 nach Auschwitz	14.12.1942	14.12.1942	1942-12-14	1942-12-14	Dec	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	im September 1943 nach Auschwitz	September 1943	Sep 1943	NA	1943-09-01	Sep	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Sobibor	NA	Sobibor	Sobibór	am 13.06.1942 nach Sobibor	13.06.1942	13.06.1942	1942-06-13	1942-06-13	Jun	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.03.1943 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Warschau	NA	Warschau	Warschau	am 02.04.1942 nach Warschau	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 02.02.1943 nach Theresienstadt	02.02.1943	02.02.1943	1943-02-02	1943-02-02	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
von vielleicht: Savignyplatz 4 nach Auschwitz	vielleicht: Savignyplatz 4 	Auschwitz	Auschwitz	am 29.11.1942 von vielleicht: Savignyplatz 4 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 04.09.1942 nach Theresienstadt	04.09.1942	04.09.1942	1942-09-04	1942-09-04	Sep	1942
nach Sachsenhausen	NA	Sachsenhausen	Sachsenhausen	am 25.06.1942 nach Sachsenhausen	25.06.1942	25.06.1942	1942-06-25	1942-06-25	Jun	1942
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 02.03.1943 von Moabit nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 02.03.1943 von Moabit nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 04.03.1943 nach Auschwitz	04.03.1943	04.03.1943	1943-03-04	1943-03-04	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 03.10.1942 nach Theresienstadt	03.10.1942	03.10.1942	1942-10-03	1942-10-03	Oct	1942
nach Thersienstadt	NA	Thersienstadt	Theresienstadt	am 14.09.1942 nach Thersienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 23.07.1942 nach Theresienstadt	23.07.1942	23.07.1942	1942-07-23	1942-07-23	Jul	1942
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 25.08.1942 nach Theresienstadt	25.08.1942	25.08.1942	1942-08-25	1942-08-25	Aug	1942
nach Riga	NA	Riga	Riga	am 05.09.1942 nach Riga	05.09.1942	05.09.1942	1942-09-05	1942-09-05	Sep	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 18.10.1941 nach Łódź / Litzmannstadt	18.10.1941	18.10.1941	1941-10-18	1941-10-18	Oct	1941
von Starnberger Straße 1 nach Theresienstadt	Starnberger Straße 1 	Theresienstadt	Theresienstadt	am 28.08.1942 von Starnberger Straße 1 nach Theresienstadt	28.08.1942	28.08.1942	1942-08-28	1942-08-28	Aug	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
von Am Rosenanger 21 nach Auschwitz	Am Rosenanger 21 	Auschwitz	Auschwitz	am 06.03.1943 von Am Rosenanger 21 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 23.09.1942 nach Theresienstadt	23.09.1942	23.09.1942	1942-09-23	1942-09-23	Sep	1942
	NA	NA	NA	am 17.05.1943	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 01.03.1943 von Moabit nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
von Moabit nach Auschwitz	Moabit 	Auschwitz	Auschwitz	am 06.03.1943 von Moabit nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.01.1943 nach Auschwitz	12.01.1943	12.01.1943	1943-01-12	1943-01-12	Jan	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 06.03.1943 nach Auschwitz	06.03.1943	06.03.1943	1943-03-06	1943-03-06	Mar	1943
nach Riga	NA	Riga	Riga	am 15.08.1942 nach Riga	15.08.1942	15.08.1942	1942-08-15	1942-08-15	Aug	1942
von Anhalter Bahnhof nach Theresienstadt	Anhalter Bahnhof 	Theresienstadt	Theresienstadt	am 31.08.1942 von Anhalter Bahnhof nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
von Anhalter Bahnhof nach Theresienstadt	Anhalter Bahnhof 	Theresienstadt	Theresienstadt	am 23.06.1942 von Anhalter Bahnhof nach Theresienstadt	23.06.1942	23.06.1942	1942-06-23	1942-06-23	Jun	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.04.1943 nach Auschwitz	19.04.1943	19.04.1943	1943-04-19	1943-04-19	Apr	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 19.04.1943 nach Auschwitz	19.04.1943	19.04.1943	1943-04-19	1943-04-19	Apr	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 29.10.1941 nach Łódź / Litzmannstadt	29.10.1941	29.10.1941	1941-10-29	1941-10-29	Oct	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 29.10.1941 nach Łódź / Litzmannstadt	29.10.1941	29.10.1941	1941-10-29	1941-10-29	Oct	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 03.03.1943 nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.12.1942 nach Auschwitz	09.12.1942	09.12.1942	1942-12-09	1942-12-09	Dec	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 16.12.1942 nach Theresienstadt	16.12.1942	16.12.1942	1942-12-16	1942-12-16	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.01.1943 nach Auschwitz	29.01.1943	29.01.1943	1943-01-29	1943-01-29	Jan	1943
nach Riga	NA	Riga	Riga	am 25.01.1942 nach Riga	25.01.1942	25.01.1942	1942-01-25	1942-01-25	Jan	1942
nach Riga	NA	Riga	Riga	am 19.01.1942 nach Riga	19.01.1942	19.01.1942	1942-01-19	1942-01-19	Jan	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 28.07.1942 nach Theresienstadt	28.07.1942	28.07.1942	1942-07-28	1942-07-28	Jul	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 24.10.1941 nach Łódź / Litzmannstadt	24.10.1941	24.10.1941	1941-10-24	1941-10-24	Oct	1941
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 24.10.1941 nach Łódź / Litzmannstadt	24.10.1941	24.10.1941	1941-10-24	1941-10-24	Oct	1941
nach Minsk	NA	Minsk	Minsk	am 14.11.1941 nach Minsk	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 28.05.1943 nach Theresienstadt	28.05.1943	28.05.1943	1943-05-28	1943-05-28	May	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 06.11.1942 nach Theresienstadt	06.11.1942	06.11.1942	1942-11-06	1942-11-06	Nov	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 06.11.1942 nach Theresienstadt	06.11.1942	06.11.1942	1942-11-06	1942-11-06	Nov	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 26.02.1943 nach Auschwitz	26.02.1943	26.02.1943	1943-02-26	1943-02-26	Feb	1943
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 03.03.1943 von Berlin nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 03.03.1943 von Berlin nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 03.03.1943 von Berlin nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
von Berlin nach Auschwitz	Berlin 	Auschwitz	Auschwitz	am 03.03.1943 von Berlin nach Auschwitz	03.03.1943	03.03.1943	1943-03-03	1943-03-03	Mar	1943
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 01.11.1941 nach Łódź / Litzmannstadt	01.11.1941	01.11.1941	1941-11-01	1941-11-01	Nov	1941
von Anhalter Bahnhof nach Theresienstadt	Anhalter Bahnhof 	Theresienstadt	Theresienstadt	am 21.08.1942 von Anhalter Bahnhof nach Theresienstadt	21.08.1942	21.08.1942	1942-08-21	1942-08-21	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.08.1942 nach Theresienstadt	21.08.1942	21.08.1942	1942-08-21	1942-08-21	Aug	1942
nach Łódź / Litzmannstadt	NA	Łódź / Litzmannstadt	Łódź / Litzmannstadt	am 29.10.1941 nach Łódź / Litzmannstadt	29.10.1941	29.10.1941	1941-10-29	1941-10-29	Oct	1941
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 14.09.1942 nach Theresienstadt	14.09.1942	14.09.1942	1942-09-14	1942-09-14	Sep	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.07.1942 nach Theresienstadt	10.07.1942	10.07.1942	1942-07-10	1942-07-10	Jul	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.07.1942 nach Theresienstadt	10.07.1942	10.07.1942	1942-07-10	1942-07-10	Jul	1942
nach Piaski-Trawniki	NA	Piaski-Trawniki	Piaski	am 28.03.1942 nach Piaski-Trawniki	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 17.05.1943 nach Auschwitz	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 17.05.1943 nach Auschwitz	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
nach Minsk (Ghetto)	NA	Minsk (Ghetto)	Minsk	am 14.11.1941 nach Minsk (Ghetto)	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Minsk (Ghetto)	NA	Minsk (Ghetto)	Minsk	am 14.11.1941 nach Minsk (Ghetto)	14.11.1941	14.11.1941	1941-11-14	1941-11-14	Nov	1941
nach Auschwitz	NA	Auschwitz	Auschwitz	im Jahre 1942 nach Auschwitz	1942	1942	NA	NA	NA	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 24.07.1942 nach Theresienstadt	24.07.1942	24.07.1942	1942-07-24	1942-07-24	Jul	1942
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 29.06.1943 nach Theresienstadt	29.06.1943	29.06.1943	1943-06-29	1943-06-29	Jun	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.03.1944 nach Theresienstadt	10.03.1944	10.03.1944	1944-03-10	1944-03-10	Mar	1944
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.08.1942 nach Theresienstadt	21.08.1942	21.08.1942	1942-08-21	1942-08-21	Aug	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 21.08.1942 nach Theresienstadt	21.08.1942	21.08.1942	1942-08-21	1942-08-21	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	nach Auschwitz	NA	NA	NA	NA	NA	NA
nach Neuengamme	NA	Neuengamme	Neuengamme	nach Neuengamme	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.03.1944 nach Theresienstadt	10.03.1944	10.03.1944	1944-03-10	1944-03-10	Mar	1944
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.03.1944 nach Theresienstadt	10.03.1944	10.03.1944	1944-03-10	1944-03-10	Mar	1944
nach Riga	NA	Riga	Riga	am 13.01.1942 nach Riga	13.01.1942	13.01.1942	1942-01-13	1942-01-13	Jan	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 01.03.1943 nach Auschwitz	01.03.1943	01.03.1943	1943-03-01	1943-03-01	Mar	1943
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Piaski	NA	Piaski	Piaski	am 28.03.1942 nach Piaski	28.03.1942	28.03.1942	1942-03-28	1942-03-28	Mar	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 02.03.1943 nach Auschwitz	02.03.1943	02.03.1943	1943-03-02	1943-03-02	Mar	1943
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	am 09.12.1942 nach Auschwitz	09.12.1942	09.12.1942	1942-12-09	1942-12-09	Dec	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 17.05.1943 nach Auschwitz	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 31.08.1942 nach Theresienstadt	31.08.1942	31.08.1942	1942-08-31	1942-08-31	Aug	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 17.05.1943 nach Auschwitz	17.05.1943	17.05.1943	1943-05-17	1943-05-17	May	1943
in das Warschauer Ghetto	NA	Warschauer Ghetto	Warschau	am 02.04.1942 in das Warschauer Ghetto	02.04.1942	02.04.1942	1942-04-02	1942-04-02	Apr	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 17.03.1943 nach Theresienstadt	17.03.1943	17.03.1943	1943-03-17	1943-03-17	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 13.01.1943 nach Theresienstadt	13.01.1943	13.01.1943	1943-01-13	1943-01-13	Jan	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 13.01.1943 nach Theresienstadt	13.01.1943	13.01.1943	1943-01-13	1943-01-13	Jan	1943
nach Auschwitz	NA	Auschwitz	Auschwitz	am 12.03.1943 nach Auschwitz	12.03.1943	12.03.1943	1943-03-12	1943-03-12	Mar	1943
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 11.09.1942 nach Theresienstadt	11.09.1942	11.09.1942	1942-09-11	1942-09-11	Sep	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 28.06.1943 nach Auschwitz	28.06.1943	28.06.1943	1943-06-28	1943-06-28	Jun	1943
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Auschwitz	NA	Auschwitz	Auschwitz	am 29.11.1942 nach Auschwitz	29.11.1942	29.11.1942	1942-11-29	1942-11-29	Nov	1942
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
nach Theresienstadt	NA	Theresienstadt	Theresienstadt	am 10.01.1944 nach Theresienstadt	10.01.1944	10.01.1944	1944-01-10	1944-01-10	Jan	1944
nach Riga	NA	Riga	Riga	am 26.10.1942 nach Riga	26.10.1942	26.10.1942	1942-10-26	1942-10-26	Oct	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Auschwitz	NA	Auschwitz	Auschwitz	im Jahre 1942 nach Auschwitz	1942	1942	NA	NA	NA	1942
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
nach Riga	NA	Riga	Riga	am 27.11.1941 nach Riga	27.11.1941	27.11.1941	1941-11-27	1941-11-27	Nov	1941
