schicksal,destiny_type,destiny_type_fac,destiny_when,destiny_when_date,destiny_when_year,destiny_location,destiny_loc_cat,destiny_loc_fac
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT in Sobibór,TOT,deceased,NA,NA,NA,Sobibór,Sobibor,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
GESTORBEN 10.11.1942 in Theresienstadt,GESTORBEN,deceased,10.11.1942,1942-11-10,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 14.10.1942 im Ghetto Theresienstadt,ERMORDET,murdered,14.10.1942,1942-10-14,1942,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 08.09.1942 in Riga,ERMORDET,murdered,08.09.1942,1942-09-08,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 11.09.1942 in Theresienstadt,ERMORDET,murdered,11.09.1942,1942-09-11,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 23.11.1941 in Lodz/Litzmannstadt,ERMORDET,murdered,23.11.1941,1941-11-23,1941,Lodz/Litzmannstadt,Litzmannstadt,Litzmannstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 08.09.1942 in Riga,ERMORDET,murdered,08.09.1942,1942-09-08,1942,Riga,Riga,Riga
ERMORDET Juni 1943 in Auschwitz,ERMORDET,murdered,Juni 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET Juni 1943 in Auschwitz,ERMORDET,murdered,Juni 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET Juni 1943 in Auschwitz,ERMORDET,murdered,Juni 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET Juni 1943 in Auschwitz,ERMORDET,murdered,Juni 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET Juni 1943 in Auschwitz,ERMORDET,murdered,Juni 1943,NA,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 1944 in Auschwitz,ERMORDET,murdered,1944,NA,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET 1944 in Auschwitz,ERMORDET,murdered,1944,NA,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 09.11.1943 im Ghetto Theresienstadt,ERMORDET,murdered,09.11.1943,1943-11-09,1943,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 14.04.1944 im Ghetto Theresienstadt,ERMORDET,murdered,14.04.1944,1944-04-14,1944,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 05.06.1941 in Mauthausen,ERMORDET,murdered,05.06.1941,1941-06-05,1941,Mauthausen,Mauthausen,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 22.01.1942 in Berlin,FLUCHT IN DEN TOD,deceased,22.01.1942,1942-01-22,1942,Berlin,Berlin,Berlin
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 12.06.1944 in Auschwitz-Monowitz,ERMORDET,murdered,12.06.1944,1944-06-12,1944,Auschwitz-Monowitz,Auschwitz,Auschwitz
TOT 01.09.1944 im Jüdischen Krankenhaus,TOT,deceased,01.09.1944,1944-09-01,1944,Jüdischen Krankenhaus,Jüdischen Krankenhaus,Other
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
HINGERICHTET 20.11.1944 im Zuchthaus Brandenburg-Görden,HINGERICHTET,murdered,20.11.1944,1944-11-20,1944,Zuchthaus Brandenburg-Görden,Brandenburg,Other
HINGERICHTET 04.12.1944 im Zuchthaus Brandenburg-Görden,HINGERICHTET,murdered,04.12.1944,1944-12-04,1944,Zuchthaus Brandenburg-Görden,Brandenburg,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT,TOT,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET 04.02.1945 in Natzweiler-Struthof,ERMORDET,murdered,04.02.1945,1945-02-04,1945,Natzweiler-Struthof,Natzweiler-Struthof,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 07.07.1943 in Theresienstadt,ERMORDET,murdered,07.07.1943,1943-07-07,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FüR TOT ERKLäRT in Auschwitz,FüR TOT ERKLäRT,deceased,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 19.01.1945 im Zuchthaus Luckau,TOT,deceased,19.01.1945,1945-01-19,1945,Zuchthaus Luckau,Zuchthaus Luckau,Other
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET 29.10.1942 im Ghetto Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Ghetto Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 30.09.1939,FLUCHT IN DEN TOD,deceased,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
TOT in Raasiku (b. Reval),TOT,deceased,NA,NA,NA,Raasiku (b. Reval),Raasiku,Other
TOT in Sobibór,TOT,deceased,NA,NA,NA,Sobibór,Sobibor,Other
LETZTES LEBENZEICHEN 25.04.1945 in Berlin,LETZTES LEBENZEICHEN,unknown,25.04.1945,1945-04-25,1945,Berlin,Berlin,Berlin
ERMORDET 12.08.1940 in Dachau,ERMORDET,murdered,12.08.1940,1940-08-12,1940,Dachau,Dachau,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET 28.09.1942 in Theresienstadt,ERMORDET,murdered,28.09.1942,1942-09-28,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Piaski,ERMORDET,murdered,NA,NA,NA,Piaski,Piaski,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Buchenwald,ERMORDET,murdered,NA,NA,NA,Buchenwald,Buchenwald,Other
ERMORDET in Mauthausen,ERMORDET,murdered,NA,NA,NA,Mauthausen,Mauthausen,Other
ERMORDET im Ghetto Riga,ERMORDET,murdered,NA,NA,NA,Ghetto Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
TOT 13.07.1943 in Theresienstadt,TOT,deceased,13.07.1943,1943-07-13,1943,Theresienstadt,Theresienstadt,Theresienstadt
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
FLUCHT IN DEN TOD 27.11.1939 in Berlin,FLUCHT IN DEN TOD,deceased,27.11.1939,1939-11-27,1939,Berlin,Berlin,Berlin
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET 31.12.1943 in Auschwitz,ERMORDET,murdered,31.12.1943,1943-12-31,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Minsk,ERMORDET,murdered,NA,NA,NA,Minsk,Minsk,Minsk
ERMORDET 30.01.1942 in Riga,ERMORDET,murdered,30.01.1942,1942-01-30,1942,Riga,Riga,Riga
ERMORDET 28.03.1944 in Theresienstadt,ERMORDET,murdered,28.03.1944,1944-03-28,1944,Theresienstadt,Theresienstadt,Theresienstadt
TOT 08.02.1943 in Theresienstadt,TOT,deceased,08.02.1943,1943-02-08,1943,Theresienstadt,Theresienstadt,Theresienstadt
HINGERICHTET 28.05.1942 in Sachsenhausen,HINGERICHTET,murdered,28.05.1942,1942-05-28,1942,Sachsenhausen,Sachsenhausen,Sachsenhausen
ERMORDET 15.10.1944 in Auschwitz,ERMORDET,murdered,15.10.1944,1944-10-15,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Warschau,ERMORDET,murdered,NA,NA,NA,Warschau,Warschau,Other
ERMORDET in Warschau,ERMORDET,murdered,NA,NA,NA,Warschau,Warschau,Other
ERMORDET 15.10.1944 in Auschwitz,ERMORDET,murdered,15.10.1944,1944-10-15,1944,Auschwitz,Auschwitz,Auschwitz
ERMORDET September 1943 in Theresienstadt,ERMORDET,murdered,September 1943,NA,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 09.08.1942 in Theresienstadt,ERMORDET,murdered,09.08.1942,1942-08-09,1942,Theresienstadt,Theresienstadt,Theresienstadt
TOT 14.03.1943 in Theresienstadt,TOT,deceased,14.03.1943,1943-03-14,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 13.04.1944 in Theresienstadt,ERMORDET,murdered,13.04.1944,1944-04-13,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 14.05.1942 in Chełmno / Kulmhof,ERMORDET,murdered,14.05.1942,1942-05-14,1942,Chełmno / Kulmhof,Chełmno / Kulmhof,Chełmno / Kulmhof
ERMORDET 21.07.1944 in Theresienstadt,ERMORDET,murdered,21.07.1944,1944-07-21,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 14.01.1944 in Meseritz-Obrawalde,ERMORDET,murdered,14.01.1944,1944-01-14,1944,Meseritz-Obrawalde,Meseritz-Obrawalde,Other
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET 03.10.1944 in Theresienstadt,ERMORDET,murdered,03.10.1944,1944-10-03,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 20.04.1944 in Theresienstadt,ERMORDET,murdered,20.04.1944,1944-04-20,1944,Theresienstadt,Theresienstadt,Theresienstadt
TOT 17.09.1942 in Theresienstadt,TOT,deceased,17.09.1942,1942-09-17,1942,Theresienstadt,Theresienstadt,Theresienstadt
TOT 1940,TOT,deceased,NA,NA,NA,NA,NA,Unknown
VERBLEIB UNKLAR,VERBLEIB UNKLAR,unknown,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
"ERMORDET 25.11.1941 in Kowno, Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno, Fort IX",Kowno,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 03.12.1942 in Theresienstadt,FLUCHT IN DEN TOD,deceased,03.12.1942,1942-12-03,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET 02.09.1943 in Auschwitz,ERMORDET,murdered,02.09.1943,1943-09-02,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Sobibór,ERMORDET,murdered,NA,NA,NA,Sobibór,Sobibor,Other
ERMORDET in Treblinka,ERMORDET,murdered,NA,NA,NA,Treblinka,Treblinka,Treblinka
ERMORDET 22.10.1942 in Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga,Riga,Riga
ERMORDET 22.10.1942 in Riga,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga,Riga,Riga
ERMORDET 03.04.1943 in Auschwitz,ERMORDET,murdered,03.04.1943,1943-04-03,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 04.12.1942 in Theresienstadt,ERMORDET,murdered,04.12.1942,1942-12-04,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 06.06.1944 in Theresienstadt,ERMORDET,murdered,06.06.1944,1944-06-06,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 20.04.1945 im Zuchthaus Brandenburg-Görden,ERMORDET,murdered,20.04.1945,1945-04-20,1945,Zuchthaus Brandenburg-Görden,Brandenburg,Other
ERMORDET 29.10.1942 in Riga,ERMORDET,murdered,29.10.1942,1942-10-29,1942,Riga,Riga,Riga
ERMORDET 05.11.1942 in Auschwitz,ERMORDET,murdered,05.11.1942,1942-11-05,1942,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 26.03.1945 in Auschwitz,ERMORDET,murdered,26.03.1945,1945-03-26,1945,Auschwitz,Auschwitz,Auschwitz
ERMORDET 04.06.1943 in Auschwitz,ERMORDET,murdered,04.06.1943,1943-06-04,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 27.01.1940 in Sachsenhausen,ERMORDET,murdered,27.01.1940,1940-01-27,1940,Sachsenhausen,Sachsenhausen,Sachsenhausen
ERMORDET 18.08.1942 in Riga,ERMORDET,murdered,18.08.1942,1942-08-18,1942,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 02.10.1942 in Theresienstadt,ERMORDET,murdered,02.10.1942,1942-10-02,1942,Theresienstadt,Theresienstadt,Theresienstadt
FLUCHT IN DEN TOD 20.09.1943 in Alt Gurkowschbruch (Neumark) / Górecko,FLUCHT IN DEN TOD,deceased,20.09.1943,1943-09-20,1943,Alt Gurkowschbruch (Neumark) / Górecko,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Piaski,ERMORDET,murdered,NA,NA,NA,Piaski,Piaski,Other
"ERMORDET 25.11.1941 in Kowno (Kauen), Fort IX",ERMORDET,murdered,25.11.1941,1941-11-25,1941,"Kowno (Kauen), Fort IX",Kowno,Other
ERMORDET 17.01.1943 im Ghetto Theresienstadt,ERMORDET,murdered,17.01.1943,1943-01-17,1943,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 06.06.1944 in Theresienstadt,ERMORDET,murdered,06.06.1944,1944-06-06,1944,Theresienstadt,Theresienstadt,Theresienstadt
TOT 24.06.1941 im Internierungslager Gurs,TOT,deceased,24.06.1941,1941-06-24,1941,Internierungslager Gurs,Gurs,Other
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
"ÜBERLEBT 18.04.1961 in Nahariya, Israel",ÜBERLEBT,survived,18.04.1961,1961-04-18,1961,"Nahariya, Israel","Nahariya, Israel",Other
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 09.12.1942 in Auschwitz,ERMORDET,murdered,09.12.1942,1942-12-09,1942,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
FLUCHT IN DEN TOD 06.05.1941 in Berlin,FLUCHT IN DEN TOD,deceased,06.05.1941,1941-05-06,1941,Berlin,Berlin,Berlin
"ERMORDET 18.08.1942 in Riga, Ghetto",ERMORDET,murdered,18.08.1942,1942-08-18,1942,"Riga, Ghetto",Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET 28.04.1943 in Auschwitz,ERMORDET,murdered,28.04.1943,1943-04-28,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET April 1944 in Theresienstadt,ERMORDET,murdered,April 1944,NA,1944,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 14.12.1942 im Ghetto Theresienstadt,ERMORDET,murdered,14.12.1942,1942-12-14,1942,Ghetto Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 14.05.1943 in Theresienstadt,ERMORDET,murdered,14.05.1943,1943-05-14,1943,Theresienstadt,Theresienstadt,Theresienstadt
FLUCHT IN DEN TOD 11.10.1936 in Berlin,FLUCHT IN DEN TOD,deceased,11.10.1936,1936-10-11,1936,Berlin,Berlin,Berlin
ERMORDET 02.09.1942 in Theresienstadt,ERMORDET,murdered,02.09.1942,1942-09-02,1942,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET 27.02.1943 in Auschwitz,ERMORDET,murdered,27.02.1943,1943-02-27,1943,Auschwitz,Auschwitz,Auschwitz
ERMORDET 06.04.1942 in Łódź / Litzmannstadt,ERMORDET,murdered,06.04.1942,1942-04-06,1942,Łódź / Litzmannstadt,Litzmannstadt,Litzmannstadt
TOT 30.05.1943 in Theresienstadt,TOT,deceased,30.05.1943,1943-05-30,1943,Theresienstadt,Theresienstadt,Theresienstadt
TOT 11.03.1943 in Theresienstadt,TOT,deceased,11.03.1943,1943-03-11,1943,Theresienstadt,Theresienstadt,Theresienstadt
ERMORDET in Riga-Skirotava,ERMORDET,murdered,NA,NA,NA,Riga-Skirotava,Riga,Riga
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET in Riga,ERMORDET,murdered,NA,NA,NA,Riga,Riga,Riga
ERMORDET 22.10.1942,ERMORDET,murdered,NA,NA,NA,NA,NA,Unknown
ERMORDET 22.10.1942 in Riga-Jungfernhof,ERMORDET,murdered,22.10.1942,1942-10-22,1942,Riga-Jungfernhof,Riga,Riga
ÜBERLEBT,ÜBERLEBT,survived,NA,NA,NA,NA,NA,Unknown
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
ERMORDET in Auschwitz,ERMORDET,murdered,NA,NA,NA,Auschwitz,Auschwitz,Auschwitz
